district,school_name,total,6th,6th,7th,7th,8th,8th,9th,9th,10th,10TH,11TH,11TH,12TH,12TH
Atlanta Public Schools,Atlanta Neighborhood Charter - Middle,195,73,100.00%,56,93.30%,66,95.70%,,,,,,,,
Atlanta Public Schools,Brown Middle School,337,110,96.50%,109,95.60%,118,96.70%,,,,,,,,
Atlanta Public Schools,Bunche Middle School,589,216,99.50%,208,98.60%,165,98.80%,,,,,,,,
Atlanta Public Schools,Harper-Archer Middle School,305,7,87.50%,150,95.50%,148,94.90%,,,,,,,,
Atlanta Public Schools,Inman Middle School,768,281,98.90%,252,96.20%,235,95.10%,,,,,,,,
Atlanta Public Schools,John Lewis Invictus Academy,247,247,99.60%,0,0.00%,0,0.00%,,,,,,,,
Atlanta Public Schools,Kindezi Old 4th Ward,81,45,97.80%,35,100.00%,1,100.00%,,,,,,,,
Atlanta Public Schools,Kindezi,117,33,97.10%,53,96.40%,31,96.90%,,,,,,,,
Atlanta Public Schools,King Middle School,460,184,98.40%,146,96.10%,130,95.60%,,,,,,,,
Atlanta Public Schools,Kipp Strive Academy,246,87,100.00%,85,97.70%,74,97.40%,,,,,,,,
Atlanta Public Schools,KIPP VISION,235,87,98.90%,90,96.80%,58,86.60%,,,,,,,,
Atlanta Public Schools,KIPP West Atlanta Young Scholars Academy,183,67,100.00%,68,98.60%,48,100.00%,,,,,,,,
Atlanta Public Schools,Long Middle School,505,181,98.90%,168,97.10%,156,95.70%,,,,,,,,
Atlanta Public Schools,Michael R. Hollis Innovation Academy,37,37,100.00%,0,0.00%,0,0.00%,,,,,,,,
Atlanta Public Schools,Price Middle School,240,91,95.80%,77,97.50%,72,100.00%,,,,,,,,
Atlanta Public Schools,Sutton Middle School,"1,113",433,98.00%,384,96.00%,296,91.90%,,,,,,,,
Atlanta Public Schools,Sylvan Hills Middle School,406,140,97.20%,128,97.70%,138,98.60%,,,,,,,,
Atlanta Public Schools,Wesley International Academy Charter Facility,187,66,98.50%,63,100.00%,58,96.70%,,,,,,,,
Atlanta Public Schools,Westside Atlanta Charter School,26,26,100.00%,0,0.00%,0,0.00%,,,,,,,,
Atlanta Public Schools,Young Middle School,585,222,99.10%,182,97.30%,181,96.80%,,,,,,,,
Atlanta Public Schools,North Atlanta High School,"1,095",,,,,,,319,87.20%,311,85.20%,265,84.10%,200,72.20%
Atlanta Public Schools,Grady High School,756,,,,,,,218,81.30%,201,82.70%,164,71.30%,173,80.10%
Atlanta Public Schools,Crim High School,110,,,,,,,20,95.20%,27,96.40%,39,97.50%,24,85.70%
Atlanta Public Schools,South Atlanta High School,641,,,,,,,266,94.70%,155,94.50%,150,97.40%,70,88.60%
Atlanta Public Schools,Charles Drew Charter School JA_SA,537,97,99.00%,102,100.00%,85,100.00%,85,95.50%,58,93.60%,63,100.00%,47,88.70%
Atlanta Public Schools,Corretta Scott King Womens_ Leadership Academy,281,38,100.00%,41,100.00%,53,98.20%,42,100.00%,35,97.20%,48,100.00%,24,88.90%
Atlanta Public Schools,Mays High School,"1,027",,,,,,,326,94.50%,258,97.40%,227,93.80%,216,91.10%
Atlanta Public Schools,Maynard H. Jackson_ Jr. High School,813,,,,,,,287,96.30%,193,92.30%,165,94.30%,168,91.30%
Atlanta Public Schools,Booker T. Washington High School,483,,,,,,,139,95.90%,143,98.00%,111,90.20%,90,91.80%
Atlanta Public Schools,Early College High School at Carver,279,,,,,,,107,95.50%,62,100.00%,64,94.10%,46,92.00%
Atlanta Public Schools,Therrell High School,644,,,,,,,202,96.20%,157,97.50%,148,95.50%,137,92.60%
Atlanta Public Schools,Douglass High School,657,,,,,,,262,97.40%,191,97.50%,106,94.60%,98,93.30%
Atlanta Public Schools,Carver High School,266,,,,,,,83,96.50%,72,94.70%,65,98.50%,46,93.90%
Atlanta Public Schools,B.E.S.T Academy,260,32,97.00%,47,100.00%,36,94.70%,47,97.90%,31,91.20%,34,91.90%,33,94.30%
Atlanta Public Schools,School of Technology at Carver,20,,,,,,,0,0.00%,0,0.00%,0,0.00%,20,95.20%
Atlanta Public Schools,KIPP Atlanta Collegiate,376,,,,,,,110,97.40%,86,97.70%,104,97.20%,76,98.70%
Atlanta Public Schools,Atlanta Classical Academy,254,53,100.00%,55,98.20%,40,95.20%,38,97.40%,37,86.10%,26,89.70%,5,100.00%
Atlanta Public Schools,Centennial Academy,192,82,96.50%,55,96.50%,49,98.00%,2,100.00%,1,100.00%,1,100.00%,2,100.00%
Cobb County,Allatoona High School,985,,,,,,,396,91.70%,223,94.10%,191,87.20%,175,86.60%
Cobb County,Awtrey Middle School,623,183,96.80%,224,97.40%,216,93.50%,,,,,,,,
Cobb County,Barber Middle School,694,245,98.00%,237,98.30%,212,95.90%,,,,,,,,
Cobb County,Campbell High School,"1,609",,,,,,,502,94.40%,417,94.30%,366,93.10%,324,89.80%
Cobb County,Campbell Middle School,"1,146",429,98.60%,363,98.60%,354,97.50%,,,,,,,,
Cobb County,Cooper Middle School,659,233,95.10%,221,98.70%,205,95.40%,,,,,,,,
Cobb County,Daniell Middle School,741,287,97.60%,216,93.90%,238,93.00%,,,,,,,,
Cobb County,Dickerson Middle School,"1,100",374,98.70%,359,98.40%,367,95.80%,,,,,,,,
Cobb County,Dodgen Middle School,901,336,98.50%,350,97.00%,215,95.60%,,,,,,,,
Cobb County,Durham Middle School,690,222,98.70%,243,95.70%,225,92.20%,,,,,,,,
Cobb County,East Cobb Middle School,894,357,99.20%,239,95.60%,298,97.10%,,,,,,,,
Cobb County,Floyd Middle School,743,275,96.50%,244,95.30%,224,88.20%,,,,,,,,
Cobb County,Garrett Middle School,561,179,95.20%,184,97.90%,198,96.60%,,,,,,,,
Cobb County,Griffin Middle School,870,354,96.70%,259,95.60%,257,89.60%,,,,,,,,
Cobb County,Harrison High School,"1,298",,,,,,,467,89.60%,388,85.10%,261,77.70%,182,78.50%
Cobb County,Hightower Trail Middle School,889,268,99.30%,319,98.80%,302,97.40%,,,,,,,,
Cobb County,Hillgrove High School,"1,476",,,,,,,374,90.60%,365,87.70%,385,89.50%,352,83.40%
